Particulars (Tally Product Name),Sources
Frido Women's Cloud Comfort Sandals - Toeless - Tan-6,Stockist
Frido Ergoluxe Studio Chair - Tan,Offline_B2B
Frido Cloud Comfort Lace-up Shoes - Olive UK 8,Stockist
Frido Women's Ethnic Comfort Flat Sandal - Nude Sand UK-5,Stockist
Frido Women's Ethnic Comfort Flat Sandal - Satin Gold UK-5,Stockist
SAC 100 Sapres,"MTGT,Offline_B2B"
Car Neck Pillow-Grey Pck of 2,Stockist
Frido Women's Cloud Comfort laceup Shoes - White UK4,Stockist
"Invisible Zipper with Runner Black 18""",MTGT
Frido Barefoot Classic (Men) XL (UK 13-15),MTGT
Frido Barefoot Classic (Men) XS (UK 4-5),MTGT
Queen Size Pillow,"MTGT,Offline_B2B"
Frido Women's Cloud Comfort laceup Shoes - White UK5,Stockist
Frido Women's Cloud Comfort laceup Shoes - White UK6,Stockist
Frido Cloud Comfort Lace-up Shoes - Olive UK 9,Stockist
Mini Car Neck Pillow - Black Pack of 2,Stockist
Ball Of Foot Cushions Pack of 4,Stockist
Mini Car Neck Pillow - Grey Pack of 2,Stockist
FSS101 Spares,"MTGT,Offline_B2B"
Car Neck Pillow Beige (Pack of 2),Stockist
Mattress Topper - 72 X 36 X 2,"Offline_B2B,Stockist"
Frido Silicone Gel Insole - L Pack of 2,Stockist
Foldable Chair FSS102,Offline_B2B
Frido Women's Cloud Comfort Sandals - Toeless - Tan-4,Stockist
Frido Women's Comfort Flat Sandals -Ivory Dust - 41,Stockist
Ultimate Car Wedge Seat Cushion - Grey Pack of 2,Stockist
Frido Puneri Chappal - Men - Tan-11,Stockist
Frido Silicone Gel Insole - S Pack of 2,Stockist
Accessories Caster Wheel @ 18%,Offline_B2B
Frido Mattress Protector Navy Blue - 60x78,"Offline_B2B,Stockist"
25.6V 12Ah LFP battery - Wheelchair,Offline_B2B
Frido Ultimate Wedge  Cushion- Black Combo 2,Stockist
Fabric -Yellow,MTGT
Frido Puneri Chappal - Men - Black-11,Stockist
Frido Puneri Chappal - Men - Burgundy-11,Stockist
Frido Women's Cloud Comfort laceup Shoes - White UK3,Stockist
Frido Women's Cloud Comfort laceup  Shoes - Lavender UK3,Stockist
Frido Car Neck Rest Mini - Grey + Frido Slim Seat Cushion – Grey,Offline_B2B
Invisible Zipper with Runner White 37'',MTGT
Frido Cloud Comfort Lace-up Shoes - Olive UK 10,Stockist
Frido Women's Comfort Flat Sandals - Emrald Green - 39,Stockist
