Platform,Target Type,Campaign Name,Total Spend (Rs),Days Active,First Date,Last Date
"Amazon","product","SD/ElectricHeatingPad/VR/AP/VCPM/Jun26/1",214,12,"2026-06-18","2026-07-05"
"Amazon","product","SP/ElectricStandingDesk/Generic/Exact/HS/Jun26/C3",210,8,"2026-06-18","2026-07-09"
"Amazon","product","SP/WedgeSandals/Brand/PT/Jun26/C1",196,16,"2026-06-18","2026-07-08"
"Amazon","product","SP/NeckMassager/CAT/Jun26/C2",175,4,"2026-06-18","2026-06-21"
"Amazon","product","SP/CrescentPillow/Auto/Jun26/C2",155,8,"2026-06-22","2026-07-07"
"Amazon","product","SP/GlideChair/Phrase/July25/1",148,1,"2025-08-21","2025-08-21"
"Myntra","product","PLA_Footwear_Puneri Chappal Men_Brand_June26",141,11,"2026-06-27","2026-07-09"
"Amazon","product","SBV/CrescentPillow/Phrase/Jun26/1",133,5,"2026-06-29","2026-07-06"
"Amazon","product","SD/ElectricStandingDesk/CAT/VCPM/Jun26/1",129,3,"2026-06-23","2026-06-25"
"Amazon","product","SP/ActiveShoes/Brand/Phrase/Jun26/C8",120,9,"2026-06-18","2026-07-07"
"Myntra","product","PLA_Footwear_Cloud Comfort Sandal Toe Ring_Brand_June26",110,12,"2026-06-27","2026-07-09"
"Myntra","product","PLA_Footwear_Women Casual Shoes_Brand_June26",100,4,"2026-06-30","2026-07-06"
"Amazon","product","SP/ArmMonitor/CAT/Jun26/C2",97,8,"2026-06-18","2026-06-25"
"Amazon","product","SBV/CrescentPillow/CAT/Jun26/1",94,6,"2026-06-29","2026-07-05"
"Amazon","product","SD/ComfortSandal/CAT/VCPM/Aug25/1",86,1,"2025-09-22","2025-09-22"
"Amazon","product","SD/KneePillow/CAT/Sep25/1",83,1,"2025-11-21","2025-11-21"
"Amazon","product","SP/ArmMonitor/Auto/Jun26/C2",81,8,"2026-06-17","2026-06-24"
"Amazon","product","SD/WedgePlusColors/RM/AP/Feb25/1",78,1,"2025-02-22","2025-02-22"
"Amazon","product","SP/WedgeSandals/Generic/Exact/HS/Jun26/C3",77,12,"2026-06-15","2026-07-07"
"Amazon","product","SD/ArmMonitor/CAT/VCPM/Jun26/1",75,6,"2026-06-20","2026-06-25"
"Amazon","product","SP/Slipon-W/Brand/PT/Jun26/C1",66,6,"2026-06-28","2026-07-07"
"Myntra","product","PLA_Orthotics_Heel_Protector_Branded_June26",60,12,"2026-06-28","2026-07-09"
"Amazon","product","SP/MaternityPillowBundle/Phrase/June25/1",60,1,"2025-09-20","2025-09-20"
"Flipkart","product","PLA_Car Accessories_Car Combo_New_Comp_June26",57,2,"2026-07-09","2026-07-10"
"Amazon","product","SP/Slipon-W/Competitor/PT/Jun26/C2",55,5,"2026-06-29","2026-07-05"
"Amazon","product","SD/StandingDesk/CAT/July25/1",53,1,"2025-06-27","2025-06-27"
"Amazon","product","SP/ActiveShoes/Brand/PT/Jun26/C2",51,9,"2026-06-23","2026-07-03"
"Meta","product","ASC__PostureCorrectorPro-StaticAds-Test1__22062026",48,1,"2026-06-22","2026-06-22"
"Amazon","product","SP/WedgeSandals/Brand/Exact/Jun26/C5",47,11,"2026-06-15","2026-07-09"
"Amazon","product","SP/ElectricHeatingPad/Auto/Jun26/C1",46,5,"2026-06-19","2026-07-04"
"Amazon","product","SP/ComfortSandal/Brand/Phrase/Aug25/1",43,1,"2025-11-26","2025-11-26"
"Amazon","product","SP/CloudSeat/Phrase/June25/1",40,1,"2025-06-23","2025-06-23"
"Amazon","product","SP/NeckMassager/Auto/Jun26/C2",38,5,"2026-06-17","2026-07-04"
"Amazon","product","SP/LaceupShoesWomen/Brand/Phrase/Feb26/1",35,2,"2026-02-02","2026-02-04"
"Amazon","product","SD/NeckMassager/CAT/VCPM/Jun26/1",31,3,"2026-06-20","2026-07-04"
"Amazon","product","SP/ActiveShoes/Brand/Exact/Jun26/C7",30,6,"2026-06-19","2026-07-07"
"Amazon","product","SP/FoldableWalker/Phrase/March25/1",29,1,"2025-12-26","2025-12-26"
"Amazon","product","SBV/CrescentPillow/Exact/Jun26/1",29,2,"2026-06-30","2026-07-01"
"Amazon","product","SD/EyeMask/RM/AP/July25/1",27,1,"2025-07-07","2025-07-07"
"Myntra","product","PLA_CarCombo_UltimateSeatCushion_Generic_June26",24,3,"2026-07-03","2026-07-09"
"Amazon","product","SP/Mask/Ultimate/Brand/Phrase/July22/1",23,3,"2024-07-21","2025-01-13"
"Amazon","product","SP/ComfortSandal/Auto/Aug25/1",21,1,"2025-11-26","2025-11-26"
"Amazon","product","SP/MattressProtector/Brand/Phrase/Dec25/1",20,1,"2025-12-26","2025-12-26"
